"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"DEBUG";;;
2;"C18,C17,C16,C7,C22,C6,C19,C15,C3,C23,C25,C8,C21,C20,C9";"CAPC1005X56N";15;"100nF";;;
3;"R6,R5,R10";"RESC1005X40";3;"3.3k";;;
4;"J5";"PinSocket_2x04_P2.54mm_Vertical";1;"ESP8266_WIFI";;;
5;"J4";"PinSocket_2x04_P2.54mm_Vertical";1;"CAM/SPI0";;;
6;"C4,C5";"CAPC1005X55N";2;"27pF";;;
7;"S1";"SW_EG2208";1;"Switch";;;
8;"U1";"RP2040-QFN-56";1;"RP2040";;;
9;"U3";"QFN40P300X300X105-24N";1;"ICM-20948";;;
10;"J10";"PinHeader_1x04_P2.54mm_Vertical";1;"UART1";;;
11;"C14,C13,C26";"CAPC1608X90N";3;"1uF";;;
12;"J8";"PinHeader_1x04_P2.54mm_Vertical";1;"M3";;;
13;"J6";"PinHeader_1x04_P2.54mm_Vertical";1;"M1";;;
14;"J9";"PinHeader_1x04_P2.54mm_Vertical";1;"M4";;;
15;"H4,H1,H2,H3";"MountingHole_2.2mm_M2";4;"~";;;
16;"R11,R12,R7,R8";"RESC1005X40N";4;"10k";;;
17;"SW3";"PTS 647 SN50 SMTR2 LFS";1;"WiFi_RESET";;;
18;"Y1";"XTAL_ABLS-12.000MHZ-K2-T";1;"12MHz";;;
19;"J2";"AMPHENOL_10118193-0001LF";1;"MicroUSB Connector";;;
20;"SW5";"PTS 647 SN50 SMTR2 LFS";1;"DOWN";;;
21;"J1";"GCT_MEM2051-00-195-00-A";1;"MicroSD Holder";;;
22;"SW1,SW2";"PTS 647 SN50 SMTR2 LFS";2;"Button";;;
23;"R4,R9,R3";"RESC1005X40";3;"1k";;;
24;"SW4";"PTS 647 SN50 SMTR2 LFS";1;"UP";;;
25;"J7";"PinHeader_1x04_P2.54mm_Vertical";1;"M2";;;
26;"J13";"AMASS_XT60-M_1x02_P7.20mm_Vertical";1;"BATTERY";;;
27;"U5";"SOIC_208MIL_WIN";1;"W25Q128JVSIQ TR";;;
28;"J11";"PinSocket_2x06_P2.54mm_Vertical";1;"~";;;
29;"C11,C12,C2,C1,C10";"CAP_CL21_SAM";5;"10uF";;;
30;"U4";"DPAK229P990X238-4N";1;"MC7805BDTRKG";;;
31;"R1,R2";"RESC1005X35N";2;"27.4";;;
32;"C24";"CAPC1005X60N";1;"4.7uF";;;
33;"U7";"SOT223-3_ONS";1;"1V8 Regulator";;;
34;"U2";"SOT230P700X185-4N";1;"3V3 Regulator";;;
35;"U6";"XCDR_VL53L4CXV0DH_1";1;"Distance Sensor";;;
